Domain Code,Domain,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5510","Production","156","Sugar cane","t","572617049.87","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","236","Soya beans","t","72539076.29","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","56","Maize (corn)","t","63068106.97","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","162","Raw cane or beet sugar (centrifugal only)","t","29653209.97","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","882","Raw milk of cattle","t","28485342.33","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","125","Cassava, fresh","t","21955162.94","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","490","Oranges","t","18300856.29","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","165","Molasses","t","12730409.19","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","51","Beer of barley, malted","t","11292308.9","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","27","Rice","t","11172092.77","E","Estimated value"
